id,date,season,home_team_id,away_team_id,home_score,away_score
377,2025-10-29,2025/26,4,56,2,2
378,2025-10-29,2025/26,91,95,3,5
379,2025-10-29,2025/26,40,60,3,3
380,2025-10-29,2025/26,44,52,3,0
381,2025-10-29,2025/26,63,3,2,2
382,2025-11-01,2025/26,40,8,1,0
383,2025-11-01,2025/26,95,40,0,1
384,2025-11-01,2025/26,52,4,0,1
385,2025-11-02,2025/26,3,44,4,1
386,2025-11-02,2025/26,76,80,3,0
387,2025-11-02,2025/26,75,56,1,0
388,2025-11-02,2025/26,91,19,0,2
389,2025-11-02,2025/26,63,71,0,0
390,2025-11-02,2025/26,64,60,0,0
391,2025-11-07,2025/26,40,3,0,1
392,2025-11-08,2025/26,4,64,3,0
393,2025-11-08,2025/26,71,91,1,1
394,2025-11-08,2025/26,95,76,1,4
395,2025-11-09,2025/26,80,63,1,1
396,2025-11-09,2025/26,56,52,2,0
397,2025-11-09,2025/26,19,8,2,1
398,2025-11-09,2025/26,44,75,2,0
399,2025-11-09,2025/26,60,40,2,3
400,2025-11-21,2025/26,8,4,1,5
401,2025-11-22,2025/26,76,44,1,0
402,2025-11-22,2025/26,3,95,4,1
403,2025-11-22,2025/26,40,71,3,0
404,2025-11-23,2025/26,52,60,0,0
405,2025-11-23,2025/26,64,19,3,2
406,2025-11-23,2025/26,91,80,1,1
407,2025-11-23,2025/26,63,56,0,1
408,2025-11-23,2025/26,75,40,4,2
409,2025-11-28,2025/26,19,3,0,1
410,2025-11-29,2025/26,95,40,1,0
411,2025-11-29,2025/26,40,52,1,1
412,2025-11-29,2025/26,4,63,2,2
413,2025-11-30,2025/26,44,64,1,2
414,2025-11-30,2025/26,56,76,1,2
415,2025-11-30,2025/26,71,75,0,1
416,2025-11-30,2025/26,80,8,3,1
417,2025-11-30,2025/26,60,91,3,0
418,2025-12-05,2025/26,64,95,1,0
419,2025-12-05,2025/26,75,4,1,0
420,2025-12-06,2025/26,91,76,1,2
421,2025-12-06,2025/26,63,44,1,0
422,2025-12-06,2025/26,40,3,5,0
423,2025-12-07,2025/26,8,56,0,1
424,2025-12-07,2025/26,52,19,3,1
425,2025-12-07,2025/26,71,40,0,0
426,2025-12-07,2025/26,80,60,1,0
427,2025-12-12,2025/26,56,91,4,1
428,2025-12-13,2025/26,3,64,3,1
429,2025-12-13,2025/26,19,40,2,3
430,2025-12-13,2025/26,40,63,0,3
431,2025-12-14,2025/26,60,71,1,0
432,2025-12-14,2025/26,52,75,3,4
433,2025-12-14,2025/26,76,8,2,0
434,2025-12-14,2025/26,44,80,0,0
435,2025-12-14,2025/26,4,95,1,0
436,2026-01-02,2025/26,63,76,0,3
437,2026-01-03,2025/26,95,60,1,3
438,2026-01-03,2025/26,8,44,1,1
439,2026-01-03,2025/26,75,3,0,2
440,2026-01-04,2025/26,4,91,0,2
441,2026-01-04,2025/26,64,52,2,0
442,2026-01-04,2025/26,71,56,2,1
443,2026-01-04,2025/26,80,19,1,1
444,2026-01-04,2025/26,40,40,2,1
445,2026-01-16,2025/26,95,80,1,3
446,2026-01-16,2025/26,40,75,3,0
447,2026-01-17,2025/26,76,52,1,0
448,2026-01-17,2025/26,63,8,5,1
449,2026-01-17,2025/26,56,4,2,5
450,2026-01-18,2025/26,44,19,2,1
451,2026-01-18,2025/26,91,40,1,2
452,2026-01-18,2025/26,3,71,1,1
453,2026-01-18,2025/26,60,64,2,1
454,2026-01-23,2025/26,52,40,0,1
455,2026-01-24,2025/26,3,80,0,2
456,2026-01-24,2025/26,71,95,0,0
